frame,x,y
0,-1.0,-1.0
1,-1.0,-1.0
2,-1.0,-1.0
3,573.0,312.0
4,593.0,307.0
5,614.0,302.0
6,635.0,298.0
7,656.5,293.0
8,677.0,290.5
9,697.5,286.0
10,718.5,284.0
11,739.0,281.0
12,759.0,281.0
13,778.5,278.5
14,797.0,278.5
15,818.5,278.0
16,837.0,278.0
17,857.0,278.0
18,874.0,279.0
19,893.0,280.0
20,910.5,278.5
21,925.5,281.5
22,945.5,285.5
23,962.5,288.0
24,978.5,291.0
25,995.0,294.0
26,1011.5,297.5
27,1025.5,301.0
28,1041.5,304.5
29,-1.0,-1.0
30,-1.0,-1.0
31,-1.0,-1.0
32,-1.0,-1.0
33,-1.0,-1.0
34,-1.0,-1.0
35,-1.0,-1.0
36,-1.0,-1.0
37,-1.0,-1.0
38,-1.0,-1.0
39,-1.0,-1.0
40,-1.0,-1.0
41,-1.0,-1.0
42,-1.0,-1.0
43,-1.0,-1.0
44,-1.0,-1.0
45,-1.0,-1.0
46,-1.0,-1.0
47,-1.0,-1.0
48,-1.0,-1.0
49,-1.0,-1.0
